split,feature_set,model,fold,n_test,seconds,n_trials,seeds_per_trial,accuracy,f1_weighted,f1_class0,f1_class1,auc_roc
lodo,bert_llm,LogisticRegression,ambiente,22,234.8,200,3,0.8636363636363636,0.8633540372670807,0.8571428571428571,0.8695652173913043,0.8760330578512396
lodo,bert_llm,LogisticRegression,outros,44,469.1,200,3,0.8409090909090909,0.8406624383368569,0.8444444444444444,0.8372093023255814,0.9544513457556936
lodo,bert_llm,LogisticRegression,saúde,143,113.3,200,3,0.7342657342657343,0.7315064286978844,0.703125,0.759493670886076,0.8440923317683882
lodo,bert_num,RandomForest,celebridades,8,1113.4,200,3,0.75,0.7333333333333334,0.8,0.6666666666666666,0.875
lodo,bert_num,RandomForest,economia,8,1003.9,200,3,0.625,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.6875
lodo,bert_llm,SVC,política,435,35.1,200,3,0.7333333333333333,0.7317446808510638,0.7531914893617021,0.71,0.827519871469643
lodo,bert_llm,LogisticRegression,celebridades,8,192.2,200,3,0.75,0.7333333333333334,0.8,0.6666666666666666,0.8125
temporal,bert_llm,SVC,all,99,182.0,200,3,0.8585858585858586,0.8588751673858057,0.851063829787234,0.8653846153846154,0.9098765432098764
lodo,bert_llm,LogisticRegression,economia,8,315.8,200,3,0.75,0.75,0.75,0.75,0.6875
lodo,bert_llm,SVC,ambiente,22,196.2,200,3,0.8636363636363636,0.8633540372670807,0.8571428571428571,0.8695652173913043,0.9008264462809916
lodo,bert_llm,SVC,outros,44,215.9,200,3,0.8636363636363636,0.8630717108977977,0.8695652173913043,0.8571428571428571,0.958592132505176
lodo,bert_llm,SVC,saúde,143,148.1,200,3,0.7202797202797203,0.7155174574529414,0.6774193548387096,0.7530864197530864,0.8513302034428796
lodo,bert_llm,SVC,economia,8,206.5,200,3,0.5,0.4666666666666667,0.3333333333333333,0.6,0.4375
lodo,bert_llm,SVC,celebridades,8,224.8,200,3,0.75,0.7333333333333334,0.8,0.6666666666666666,0.8125
lodo,bert_llm,RandomForest,política,435,382.9,200,3,0.7218390804597701,0.7194085611186438,0.7463312368972747,0.6921119592875318,0.7963385760189412
temporal,bert_llm,RandomForest,all,99,564.7,200,3,0.8484848484848485,0.848794537092953,0.8421052631578947,0.8543689320388349,0.8917695473251029
lodo,bert_llm,RandomForest,ambiente,22,440.3,200,3,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8512396694214875
lodo,bert_llm,RandomForest,celebridades,8,379.9,200,3,0.75,0.7333333333333334,0.8,0.6666666666666666,0.875
lodo,bert_llm,RandomForest,economia,8,351.4,200,3,0.625,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.75
lodo,bert_llm,RandomForest,outros,44,915.4,200,3,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9047619047619048
lodo,bert_llm,RandomForest,saúde,143,734.7,200,3,0.6923076923076923,0.6858487374281057,0.639344262295082,0.7317073170731707,0.7963615023474179
