model_a,model_b,a_acc,b_acc,delta_acc,n,n10,n01,statistic,p_value
bert_llm-RandomForest,bert_llm-SVC,0.8484848484848485,0.8585858585858586,-0.010101010101010055,99,3,4,3.0,1.0
bert_llm-RandomForest,bert_meta-LogisticRegression,0.8484848484848485,0.8282828282828283,0.02020202020202022,99,9,7,7.0,0.803619384765625
bert_llm-RandomForest,bert_meta-RandomForest,0.8484848484848485,0.8282828282828283,0.02020202020202022,99,5,3,3.0,0.7265625
bert_llm-RandomForest,bert_meta-SVC,0.8484848484848485,0.7878787878787878,0.06060606060606066,99,12,6,6.0,0.237884521484375
bert_llm-RandomForest,bert_num-LogisticRegression,0.8484848484848485,0.797979797979798,0.0505050505050505,99,10,5,5.0,0.30175781249999994
bert_llm-RandomForest,bert_num-RandomForest,0.8484848484848485,0.8282828282828283,0.02020202020202022,99,3,1,1.0,0.625
bert_llm-RandomForest,bert_num-SVC,0.8484848484848485,0.7474747474747475,0.101010101010101,99,14,4,4.0,0.0308837890625
bert_llm-RandomForest,tfidf-DecisionTree,0.8484848484848485,0.6868686868686869,0.16161616161616166,99,22,6,6.0,0.0037191659212112427
bert_llm-RandomForest,tfidf-GradientBoosting,0.8484848484848485,0.6565656565656566,0.19191919191919193,99,25,6,6.0,0.0008779102936387062
bert_llm-RandomForest,tfidf-KNeighbors,0.8484848484848485,0.5757575757575758,0.2727272727272727,99,34,7,7.0,2.532080361561384e-05
bert_llm-RandomForest,tfidf-LightGBM,0.8484848484848485,0.6666666666666666,0.18181818181818188,99,22,4,4.0,0.0005335211753845215
bert_llm-RandomForest,tfidf-LogisticRegression,0.8484848484848485,0.6666666666666666,0.18181818181818188,99,24,6,6.0,0.0014309063553810122
bert_llm-RandomForest,tfidf-MultinomialNB,0.8484848484848485,0.5757575757575758,0.2727272727272727,99,32,5,5.0,7.427530363202095e-06
bert_llm-RandomForest,tfidf-RandomForest,0.8484848484848485,0.7272727272727273,0.12121212121212122,99,18,6,6.0,0.022655844688415527
bert_llm-RandomForest,tfidf-SVC,0.8484848484848485,0.6565656565656566,0.19191919191919193,99,23,4,4.0,0.000310748815536499
bert_llm-RandomForest,tfidf-XGBoost,0.8484848484848485,0.6161616161616161,0.23232323232323238,99,27,4,4.0,3.39532271027565e-05
bert_llm-SVC,bert_meta-LogisticRegression,0.8585858585858586,0.8282828282828283,0.030303030303030276,99,8,5,5.0,0.5810546875
bert_llm-SVC,bert_meta-RandomForest,0.8585858585858586,0.8282828282828283,0.030303030303030276,99,5,2,2.0,0.453125
bert_llm-SVC,bert_meta-SVC,0.8585858585858586,0.7878787878787878,0.07070707070707072,99,11,4,4.0,0.11846923828124999
bert_llm-SVC,bert_num-LogisticRegression,0.8585858585858586,0.797979797979798,0.06060606060606055,99,9,3,3.0,0.14599609375
bert_llm-SVC,bert_num-RandomForest,0.8585858585858586,0.8282828282828283,0.030303030303030276,99,6,3,3.0,0.5078125
bert_llm-SVC,bert_num-SVC,0.8585858585858586,0.7474747474747475,0.11111111111111105,99,14,3,3.0,0.012725830078125
bert_llm-SVC,tfidf-DecisionTree,0.8585858585858586,0.6868686868686869,0.1717171717171717,99,24,7,7.0,0.003326892852783203
bert_llm-SVC,tfidf-GradientBoosting,0.8585858585858586,0.6565656565656566,0.202020202020202,99,26,6,6.0,0.0005350527353584766
bert_llm-SVC,tfidf-KNeighbors,0.8585858585858586,0.5757575757575758,0.28282828282828276,99,34,6,6.0,8.364584573428147e-06
bert_llm-SVC,tfidf-LightGBM,0.8585858585858586,0.6666666666666666,0.19191919191919193,99,23,4,4.0,0.000310748815536499
bert_llm-SVC,tfidf-LogisticRegression,0.8585858585858586,0.6666666666666666,0.19191919191919193,99,25,6,6.0,0.0008779102936387062
bert_llm-SVC,tfidf-MultinomialNB,0.8585858585858586,0.5757575757575758,0.28282828282828276,99,33,5,5.0,4.255962267052382e-06
bert_llm-SVC,tfidf-RandomForest,0.8585858585858586,0.7272727272727273,0.13131313131313127,99,18,5,5.0,0.010622024536132812
bert_llm-SVC,tfidf-SVC,0.8585858585858586,0.6565656565656566,0.202020202020202,99,26,6,6.0,0.0005350527353584766
bert_llm-SVC,tfidf-XGBoost,0.8585858585858586,0.6161616161616161,0.24242424242424243,99,30,6,6.0,6.960169412195683e-05
bert_meta-LogisticRegression,bert_meta-RandomForest,0.8282828282828283,0.8282828282828283,0.0,99,8,8,8.0,1.0
bert_meta-LogisticRegression,bert_meta-SVC,0.8282828282828283,0.7878787878787878,0.04040404040404044,99,4,0,0.0,0.125
bert_meta-LogisticRegression,bert_num-LogisticRegression,0.8282828282828283,0.797979797979798,0.030303030303030276,99,3,0,0.0,0.25
bert_meta-LogisticRegression,bert_num-RandomForest,0.8282828282828283,0.8282828282828283,0.0,99,9,9,9.0,1.0
bert_meta-LogisticRegression,bert_num-SVC,0.8282828282828283,0.7474747474747475,0.08080808080808077,99,11,3,3.0,0.057373046875
bert_meta-LogisticRegression,tfidf-DecisionTree,0.8282828282828283,0.6868686868686869,0.14141414141414144,99,22,8,8.0,0.016124801710247997
bert_meta-LogisticRegression,tfidf-GradientBoosting,0.8282828282828283,0.6565656565656566,0.1717171717171717,99,24,7,7.0,0.003326892852783203
bert_meta-LogisticRegression,tfidf-KNeighbors,0.8282828282828283,0.5757575757575758,0.2525252525252525,99,33,8,8.0,0.00011222142620681552
bert_meta-LogisticRegression,tfidf-LightGBM,0.8282828282828283,0.6666666666666666,0.16161616161616166,99,23,7,7.0,0.005222879350185395
bert_meta-LogisticRegression,tfidf-LogisticRegression,0.8282828282828283,0.6666666666666666,0.16161616161616166,99,25,9,9.0,0.00904118549078703
bert_meta-LogisticRegression,tfidf-MultinomialNB,0.8282828282828283,0.5757575757575758,0.2525252525252525,99,31,6,6.0,4.12575900554657e-05
bert_meta-LogisticRegression,tfidf-RandomForest,0.8282828282828283,0.7272727272727273,0.101010101010101,99,17,7,7.0,0.06391465663909912
